id,Nival,Upper alpine,Lower alpine,Upper montane,Lower montane,Mountain with frost,Mountain without frost
AFRICA,0,0,0,0,0,0,0
Adamawa,0,0,0,0,4710,0,1870000
Air Mountains,0,0,0,0,0,940,5050
Andringitra Mountains,0,0,0,0,335,0,368000
Ankaratra Mountains,0,0,0,0,39200,7380,703000
Anti-Atlas Range,0,0,0,1320,26800,139000,24000
Aures Mountains,0,0,0,4790,331000,15400,0
Bamboesberg,0,0,0,0,282,0,0
Bankberg,0,0,0,0,357,178,0
Baviaanskloofberge,0,0,0,0,0,1130,100
Bederberge,0,0,0,0,912,2550,281
Bie Plateau,0,0,0,0,0,0,450000
Bokkeveldberg,0,0,0,0,0,103,154
Dix-Huit Montagnes,0,0,0,0,0,0,164000
Drakensberg,0,0,3410,98500,710000,770000,1190000
East Usambara,0,0,0,0,0,0,55600
Eastern Highlands,0,0,0,0,7370,0,245000
Ethiopian Highlands,0,0,11900,285000,6220000,319000,26500000
Futa Djalon,0,0,0,0,0,0,810000
Gran Canaria,0,0,0,0,692,0,18300
Groot Bruintjieshoogde,0,0,0,0,50,527,903
Grootrivierhoogte,0,0,0,0,51,10200,0
Groot-Winterhoekberge,0,0,0,0,0,1240,0
Groot-Swartberge,0,0,0,0,10200,1510,25
Hexrivierberge,0,0,0,0,2740,4150,0
High Atlas Range,0,0,26,22300,523000,219000,46100
Hoggar Mountains,0,0,0,0,0,0,0
Jos Plateau,0,0,0,0,0,0,215000
Kamdebooberge,0,0,0,0,77,26,0
Kammanassieberg,0,0,0,0,351,50,0
Kaokoveld,0,0,0,0,0,0,1640
Kilimanjaro,0,0,0,0,481,0,227000
Klein-Winterhoekberge,0,0,0,0,0,11100,0
Kouebokkeveldberge,0,0,0,0,2230,152,0
Kougaberge,0,0,0,0,7200,451,726
La Palma,0,0,0,0,0,0,101000
Langeberg,0,0,0,0,200,1730,550
Madeira,0,0,0,0,23800,0,480000
Middle Atlas,0,0,0,7320,105000,85900,878
Mont Cameroun,0,0,150,240,2490,0,209000
Mount Elgon,0,0,0,26100,51600,0,766000
Mount Kenia,0,0,0,0,4490,0,23300
Neweveldberge,0,0,0,0,0,0,0
Nguru,0,0,0,0,0,0,57700
North America Pare,0,0,0,0,0,0,27200
Olifantsrivierberge,0,0,0,0,227,3630,1660
Onder-Sneeuberg,0,0,0,0,204,0,0
Outeniekwaberge,0,0,0,0,11300,726,10900
Plateau du Bemaraha,0,0,0,0,0,0,24900
Plateau of Mozambique,0,0,0,0,0,0,52900
Rif,0,0,0,15400,399000,302000,384000
Ruwenzori,0,15000,23000,19800,28100,0,471000
Saharan Atlas Range,0,0,0,0,126,1550,0
Serra Chilengue,0,0,0,0,0,582,44200
Serra de Chela,0,0,0,0,0,0,1830
Serra do Mar,0,0,0,0,0,0,9900
Sneeuberg,0,0,0,0,461,0,0
South America Pare,0,0,0,0,0,0,55800
Swartruggens,0,0,0,0,6030,177,0
Taita Hills,0,0,0,0,0,0,30900
Tandjiesberg,0,0,0,0,76,0,0
Tell Atlas,0,0,0,3340,2010000,1140000,1540000
Tenerife,0,0,0,0,14300,0,155000
Tibesti,0,0,0,0,340,197,0
Tsaratanana Range,0,0,0,0,1490,0,518000
Tsitsiammaberge,0,0,0,0,15000,150,18300
Udzungwa,0,0,0,0,0,0,290000
Ukaguru,0,0,0,0,0,0,57200
Uluguru,0,0,0,0,90,0,37900
West Usambara,0,0,0,0,5710,0,282000
Winterberge,0,0,0,127,19500,9600,6950
,0,0,0,0,0,0,0
ASIA,0,0,0,0,0,0,0
Abakanskiy Khrebet,0,0,0,217,104000,0,0
Adelbert Range,0,0,0,0,0,0,29300
Agri Dagi,0,0,0,301,4050,69,0
